contract_name,file_path,address,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,has_reentrancy_guard,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,failure_reason,error_message
HiddenReentrancy,/tmp/tmp1f57md8s/11_hidden_reentrancy.sol,0x451dd2e7514c4e2dbdb8204a8c4a0897,adversarial,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,2,1,0,0,0,2,2,0.0,0.0,3.0,4.05,False,simple,2,1,1,1,1,0,26,1,1,1.0,0,9,0.34615384615384615,1,0,0,0,0.0,7,5,0,4,0.7142857142857143,False,0,2,2,2,1,1,0.3333333333333333,False,2,0,1.0,3,1,1,True,1,1,1.0,1,0,1,1.0,False,0,1,0,0,,
FalsePositiveTrap,/tmp/tmpcvxhat_t/12_false_positive_trap.sol,0xc086ac4404bc40f9949f3df74acc34e0,adversarial,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,3,3,1,0,1,0,3,2,0.0,0.0,8.0,9.866666666666665,False,simple,2,1,1,0,1,1,24,1,1,1.0,0,12,0.5,1,0,0,0,0.0,6,4,0,3,0.6666666666666666,False,0,2,2,1,1,1,0.5,False,2,0,0.5,2,1,1,True,1,1,1.0,1,0,1,1.0,False,0,1,0,0,,
ModernDeFiSafe,/tmp/tmpeieru7sg/13_modern_defi_safe.sol,0x774ed6758dc64c09826e69b6d5920faf,adversarial,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,0,0,0,0,2,2,0.0,0.0,3.0,4.5,False,simple,4,1,2,1,5,1,38,1,1,2.0,0,8,0.21052631578947367,1,0,0,0,0.0,16,14,0,8,0.875,False,1,8,4,3,1,1,0.25,False,3,1,0.75,6,2,1,True,1,2,1.0,2,0,1,1.0,True,1,1,0,0,,
AssemblySafe,/tmp/tmp_031p1ns/14_assembly_safe.sol,0x8baa73d69fc7425caf50e2df9e3e9770,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,COMPILATION_ERROR,"Compilation error: Invalid compilation: 
Invalid solc compilation Error: Cannot assign to builtin function ""balance"".
  --> /tmp/tmp_031p1ns/14_assembly_safe.sol:24:21:
   |
24 |             balance := sload(keccak256(0x00, 0x40))
   |                     ^^

"
GasGriefing,/tmp/tmp61oc6eam/15_gas_griefing.sol,0x438d3f47c92b464db2e0d4722df81694,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,1,0,0,1,3,1,0.0,0.0,3.0,3.7,False,simple,2,2,1,0,4,0,22,1,1,2.5,0,9,0.4090909090909091,1,0,0,0,0.0,10,9,1,6,0.9,False,0,5,2,0,0,2,1.0,False,2,0,0.0,2,1,1,True,1,1,1.0,1,0,0,1.0,False,0,0,0,0,,
FrontRunningVulnerable,/tmp/tmpjhtkm9ae/16_front_running_vulnerable.sol,0xe2673c00b1894983940d0fa0e145f423,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0,1,3,4,1,0,1,1,4,2,0.0,0.0,8.0,9.4,False,simple,4,0,2,0,1,0,24,1,1,1.0,0,9,0.375,1,0,0,0,0.0,8,4,0,2,0.5,False,0,4,4,2,1,0,0.0,False,3,1,0.5,3,2,1,True,0,1,0.0,1,0,0,1.0,False,0,0,0,0,,
LogicError,/tmp/tmpsutpybgn/17_logic_error.sol,0x74994e33579745108421ddd50eb981c3,adversarial,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,2,4,0,0,1,0,3,2,0.0,0.0,12.0,15.999999999999998,False,simple,3,0,2,0,3,0,25,1,1,1.6666666666666667,0,10,0.4,0,0,0,0,0.0,9,6,0,3,0.6666666666666666,False,3,5,3,0,0,0,0.0,False,3,0,0.0,3,2,0,True,0,2,0.0,2,0,0,1.0,False,0,0,0,0,,
IOracle,/tmp/tmpjbu1dhy_/18_oracle_manipulation.sol,0xc210f5291ec54f7286fe2f1905a8304c,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,3,0,0,0,1,2,1,0.0,0.0,2.0,3.0,False,simple,1,0,0,0,1,0,30,2,1,1.0,0,8,0.26666666666666666,0,0,0,0,0.0,0,0,0,0,0.0,False,0,0,1,0,0,0,0.0,False,1,0,0.0,1,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,,
FlashLoanVulnerable,/tmp/tmp0qk72u4v/19_flash_loan_attack_vector.sol,0x63e01bb70a8a4070ae23f314307a0a2f,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,3,1,2,0,3,0,28,1,1,1.6666666666666667,0,9,0.32142857142857145,1,0,0,0,0.0,13,10,0,4,0.7692307692307693,False,2,5,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,2,2,1,True,1,1,1.0,1,0,1,1.0,False,0,1,0,0,,
UpgradeableSafe,/tmp/tmpldeh6lru/20_upgradeable_safe.sol,0x0099655e0bbc4b33b9fb936885b589e5,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0,1,5,5,2,0,1,1,5,2,0.0,0.0,10.0,12.8,False,simple,3,0,2,1,3,0,36,1,1,1.6666666666666667,0,9,0.25,1,0,0,0,0.0,20,18,0,12,0.9,False,0,5,3,9,1,0,0.0,False,3,0,3.0,10,2,2,True,0,2,0.0,2,0,0,1.0,False,0,0,0,0,,
TimelockMissing,/tmp/tmpruirbbw3/21_timelock_missing.sol,0x10ae2912954c4a20aa682c7477f3dd11,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,COMPILATION_ERROR,"Compilation error: Invalid compilation: 
Invalid solc compilation Error: ""msg.value"" and ""callvalue()"" can only be used in payable public functions. Make the function ""payable"" or use an internal function to avoid this error.
  --> /tmp/tmpruirbbw3/21_timelock_missing.sol:27:17:
   |
27 |         require(msg.value >= criticalParameter);
   |                 ^^^^^^^^^

"
EmptyContract,/tmp/tmpfagu25ua/22_empty_contract.sol,0x2929b3c38bff46ccbcaae4c111aa4f4e,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,0,0,0,0,0,0,11,1,1,0.0,0,8,0.7272727272727273,0,0,0,0,0.0,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,0,0,1.0,False,0,0,0,0,,
OnlyEvents,/tmp/tmpc653zf7q/23_only_events.sol,0x1e6a0ee72a214585ba28a8fbd31d745a,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,2,0,0,0,1,0,18,1,1,1.0,0,7,0.3888888888888889,0,0,0,0,0.0,4,2,0,1,0.5,False,0,2,2,0,0,0,0.0,False,2,0,0.0,2,0,0,False,0,2,0.0,2,0,0,1.0,False,0,0,0,0,,
IntentionalHoneypot,/tmp/tmpiliguqx7/24_intentional_honeypot.sol,0xf091f9e8b569463ab2d1c516ffebf01e,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,4,1,1,0,1,0,27,1,1,1.0,0,10,0.37037037037037035,2,0,0,0,0.0,10,6,0,3,0.6,False,0,4,4,3,1,1,0.25,False,4,0,0.75,4,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,,
GasOptimizationExtreme,/tmp/tmps0t1ytax/25_gas_optimization_extreme.sol,0x8f3b32ad2be24451a3a703d575b88f46,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,6,8,0,0,0,0,4,2,0.0,0.0,6.0,12.0,False,simple,2,0,2,0,1,0,28,1,1,1.0,0,9,0.32142857142857145,0,0,0,0,0.0,14,12,0,7,0.8571428571428571,False,0,2,2,4,1,0,0.0,False,2,0,2.0,4,2,0,False,0,2,0.0,1,0,0,1.0,False,0,0,0,0,,
