id,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,cei_reentrancy_risk,state_external_danger,unchecked_lowlevel_risk,complexity_size_product,functions_calls_interaction,high_severity_density,guard_effectiveness,external_calls_ratio,low_level_calls_ratio,complexity_per_loc,avg_function_size,detector_density,high_severity_ratio,cei_violation_rate,state_after_call_ratio,reentrancy_risk_score,access_control_risk,code_quality_score,contract_maturity,has_critical_pattern,cei_violations^2,cei_violations lines_of_code,cei_violations num_functions,cei_violations max_cyclomatic_complexity,cei_violations total_detector_hits,lines_of_code^2,lines_of_code num_functions,lines_of_code max_cyclomatic_complexity,lines_of_code total_detector_hits,num_functions^2,num_functions max_cyclomatic_complexity,num_functions total_detector_hits,max_cyclomatic_complexity^2,max_cyclomatic_complexity total_detector_hits,total_detector_hits^2,ground_truth_vulnerable,contract_name,data_source
13,0,1,9,7,0,1,3,5,0,41,4,1,1.8571428571428568,0,13,0.3170731707317073,0,0,0,0,5,5,0,1,0,5,2,0.0,0.0,14.0,23.8,0,25,21,0,6,0.84,3,13,7,7,0,0,0.0,0,7,1.0,4,1,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,205,0,0,0.0,0.0,0.0,0.11904761904761904,5.125,0.11904761904761904,0.0,0.0,0.0,0.0,0,13.920731707317074,1.3,0,0.0,0.0,0.0,0.0,0.0,1681.0,287.0,205.0,205.0,49.0,35.0,35.0,25.0,25.0,25.0,False,SingleInheritanceInitializableMocks,openzeppelin
14,0,3,71,9,1,3,0,1,0,47,9,1,1.0,0,2,0.0425531914893617,2,1,0,0,35,39,0,3,0,7,3,0.0,0.0,86.0,765.4,0,20,11,0,3,0.55,2,9,9,1,1,1,0.5,9,0,0.1111111111111111,9,3,4,0,6,0.0,4,0,0,1.0,0,0,0,0,0,0,0,47,9,0,0.0,0.1,0.0,0.020833333333333332,4.7,0.14583333333333334,0.0,0.0,0.0,0.0,0,5.375531914893617,3.2,0,0.0,0.0,0.0,0.0,0.0,2209.0,423.0,47.0,329.0,81.0,9.0,63.0,1.0,7.0,49.0,False,DummyImplementation,openzeppelin
15,0,0,28,10,6,1,0,3,1,46,5,1,1.4,0,1,0.0217391304347826,0,0,1,0,18,10,0,0,0,4,3,0.0,0.0,28.0,175.0,0,37,29,0,6,0.7837837837837838,1,14,10,21,1,6,0.2222222222222222,9,1,2.1,8,1,3,6,4,0.5,4,0,0,1.0,6,0,0,0,0,0,0,138,60,0,0.0,0.5454545454545454,0.14285714285714285,0.06382978723404255,4.181818181818182,0.0851063829787234,0.0,0.0,0.0,0.0,0,5.067391304347826,2.1,0,0.0,0.0,0.0,0.0,0.0,2116.0,460.0,138.0,184.0,100.0,30.0,40.0,9.0,12.0,16.0,False,ReentrancyMock,openzeppelin
17,1,2,76,1,1,0,0,1,0,14,3,1,1.0,0,2,0.1428571428571428,0,1,0,0,8,71,0,3,0,6,2,0.0,0.0,96.0,923.1999999999998,0,4,3,0,3,0.75,1,1,1,0,0,1,1.0,1,0,0.0,1,0,1,0,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,14,1,6,0.0,0.5,0.0,0.06666666666666667,7.0,0.4,0.14285714285714285,0.0,0.0,0.0,0,6.378571428571428,3.2,0,0.0,0.0,0.0,0.0,0.0,196.0,14.0,14.0,84.0,1.0,1.0,6.0,1.0,6.0,36.0,False,Base64Dirty,openzeppelin
18,0,0,11,1,0,0,0,1,0,55,7,1,1.0,0,12,0.2181818181818181,0,0,1,0,11,0,0,0,0,4,1,0.0,0.0,11.0,30.25,0,2,1,0,1,0.5,0,1,1,1,1,0,0.0,1,0,1.0,1,0,0,0,3,0.0,1,0,0,1.0,0,0,0,0,0,0,0,55,0,0,0.0,0.0,0.0,0.017857142857142856,27.5,0.07142857142857142,0.0,0.0,0.0,0.0,0,7.131818181818181,3.2,0,0.0,0.0,0.0,0.0,0.0,3025.0,55.0,55.0,220.0,1.0,1.0,4.0,1.0,4.0,16.0,False,AuthorityMock,openzeppelin
19,0,0,13,2,0,1,0,1,0,43,5,1,1.0,0,1,0.0232558139534883,0,0,1,0,9,4,0,0,0,4,2,0.0,0.0,13.0,38.35,0,4,2,0,1,0.5,0,2,2,1,1,0,0.0,2,0,0.5,2,1,1,0,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,43,0,0,0.0,0.0,0.0,0.022727272727272728,14.333333333333334,0.09090909090909091,0.0,0.0,0.0,0.0,0,5.182558139534883,2.1,0,0.0,0.0,0.0,0.0,0.0,1849.0,86.0,43.0,172.0,4.0,2.0,8.0,1.0,4.0,16.0,False,RegressionImplementation,openzeppelin
20,0,0,43,18,18,2,0,1,0,64,7,1,1.0,0,2,0.03125,0,18,2,0,27,16,0,0,0,3,2,0.0,0.0,43.0,547.5333333333333,1,36,18,0,1,0.5,9,18,18,0,0,18,1.0,18,0,0.0,18,2,18,0,27,0.0,18,0,0,1.0,0,0,0,0,0,0,0,64,324,0,0.0,0.9473684210526315,0.0,0.015384615384615385,3.3684210526315788,0.046153846153846156,0.0,0.0,0.0,0.0,0,5.2625,58.2,0,0.0,0.0,0.0,0.0,0.0,4096.0,1152.0,64.0,192.0,324.0,18.0,54.0,1.0,3.0,9.0,False,StorageSlotMock,openzeppelin
21,0,0,8,4,0,2,0,1,0,86,8,1,1.0,0,28,0.3255813953488372,0,0,1,0,8,0,0,0,0,4,2,0.0,0.0,8.0,16.0,0,8,4,0,2,0.5,1,4,4,2,2,0,0.0,2,2,0.5,3,2,1,0,2,0.0,2,0,0,1.0,0,0,0,0,0,0,0,86,0,0,0.0,0.0,0.0,0.011494252873563218,17.2,0.04597701149425287,0.0,0.0,0.0,0.0,0,8.205813953488372,4.8,0,0.0,0.0,0.0,0.0,0.0,7396.0,344.0,86.0,344.0,16.0,4.0,16.0,1.0,4.0,16.0,False,ERC165Mock,openzeppelin
24,0,0,7,2,2,0,0,1,2,13,2,1,1.0,0,1,0.0769230769230769,0,0,1,0,5,2,0,0,0,3,2,0.0,0.0,7.0,14.933333333333334,0,8,6,0,3,0.75,0,2,2,4,1,2,0.3333333333333333,2,0,2.0,2,0,2,2,2,1.0,2,0,0,1.0,0,0,0,0,0,0,0,13,4,0,0.0,0.6666666666666666,0.6666666666666666,0.07142857142857142,4.333333333333333,0.21428571428571427,0.0,0.0,0.0,0.0,0,5.719230769230769,2.1,0,0.0,0.0,0.0,0.0,0.0,169.0,26.0,13.0,39.0,4.0,2.0,6.0,1.0,3.0,9.0,False,ReentrancyAttack,openzeppelin
25,0,1,29,3,1,3,0,3,0,21,4,1,1.6666666666666667,0,1,0.0476190476190476,0,1,0,0,15,15,0,1,0,5,3,0.0,0.0,34.0,173.4,0,10,8,0,3,0.8,0,5,3,0,0,1,1.0,3,0,0.0,3,3,1,1,2,1.0,1,0,1,1.0,0,1,0,0,0,0,0,63,3,0,0.0,0.25,0.0,0.13636363636363635,5.25,0.22727272727272727,0.0,0.0,0.0,0.0,0,5.326190476190476,3.1,0,0.0,0.0,0.0,0.0,0.0,441.0,63.0,63.0,105.0,9.0,9.0,15.0,9.0,15.0,25.0,False,TimelockReentrant,openzeppelin
26,0,0,3,1,0,1,0,9,0,28,1,1,9.0,0,3,0.1071428571428571,0,0,0,0,4,0,0,0,1,3,1,0.0,0.0,3.0,4.0,0,15,18,0,7,1.2,0,9,1,3,1,0,0.0,1,0,3.0,3,1,1,0,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,252,0,0,0.0,0.0,0.0,0.3103448275862069,14.0,0.10344827586206896,0.0,0.0,0.0,0.0,0,5.621428571428571,0.3,0,0.0,0.0,0.0,0.0,0.0,784.0,28.0,252.0,84.0,1.0,9.0,3.0,81.0,27.0,9.0,False,ConstructorMock,openzeppelin
27,0,0,36,4,3,0,0,1,0,22,9,1,1.0,0,3,0.1363636363636363,0,0,2,0,20,16,0,0,0,5,3,0.0,0.0,36.0,224.64,0,9,5,0,2,0.5555555555555556,3,4,4,5,1,3,0.375,1,3,1.25,0,0,0,1,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,22,12,0,0.0,0.6,0.0,0.043478260869565216,4.4,0.21739130434782608,0.0,0.0,0.0,0.0,0,6.313636363636363,4.3,0,0.0,0.0,0.0,0.0,0.0,484.0,88.0,22.0,110.0,16.0,4.0,20.0,1.0,5.0,25.0,False,ERC2771ContextMock,openzeppelin
29,0,1,2,2,0,1,0,3,0,13,1,1,2.0,0,1,0.0769230769230769,1,0,0,0,3,0,0,1,0,2,2,0.0,0.0,7.0,10.5,0,6,5,0,2,0.8333333333333334,0,4,2,1,1,0,0.0,2,0,0.5,2,1,1,0,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,39,0,0,0.0,0.0,0.0,0.21428571428571427,4.333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0,5.619230769230769,0.1,0,0.0,0.0,0.0,0.0,0.0,169.0,26.0,39.0,26.0,4.0,6.0,4.0,9.0,6.0,4.0,False,EtherReceiverMock,openzeppelin
30,0,1,7,15,1,1,0,3,0,83,2,1,1.1333333333333333,0,1,0.0120481927710843,11,0,0,0,7,2,0,1,1,6,2,0.0,0.0,12.0,16.8,1,48,33,1,5,0.6875,8,17,15,6,1,1,0.1428571428571428,15,0,0.4,13,1,0,0,14,0.0,6,0,0,1.0,0,0,0,0,0,0,0,249,15,0,0.0,0.0625,0.0,0.03571428571428571,5.1875,0.07142857142857142,0.0,0.0,0.0,0.0,0,4.970481927710843,0.1,0,0.0,0.0,0.0,0.0,0.0,6889.0,1245.0,249.0,498.0,225.0,45.0,90.0,9.0,18.0,36.0,False,CallReceiverMock,openzeppelin
31,0,0,6,5,0,2,0,1,0,23,3,1,1.0,0,1,0.0434782608695652,0,0,2,0,4,2,0,0,0,2,1,0.0,0.0,6.0,16.2,0,13,8,0,2,0.6153846153846154,0,5,5,4,1,0,0.0,5,0,0.8,5,2,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,23,0,0,0.0,0.0,0.0,0.041666666666666664,3.8333333333333335,0.08333333333333333,0.0,0.0,0.0,0.0,0,5.3847826086956525,4.1,0,0.0,0.0,0.0,0.0,0.0,529.0,115.0,23.0,46.0,25.0,5.0,10.0,1.0,2.0,4.0,False,PausableMock,openzeppelin
33,0,0,29,1,2,0,0,4,0,17,4,1,4.0,0,1,0.0588235294117647,0,1,0,0,15,14,0,0,0,3,2,0.0,0.0,29.0,239.7333333333333,0,9,9,1,6,1.0,1,4,1,0,0,2,1.0,1,0,0.0,1,0,1,2,1,0.5,1,0,0,1.0,0,0,0,0,0,0,0,68,2,0,0.0,1.0,0.0,0.2222222222222222,8.5,0.16666666666666666,0.0,0.0,0.0,0.0,0,5.388235294117647,3.1,0,0.0,0.0,0.0,0.0,0.0,289.0,17.0,68.0,51.0,1.0,4.0,3.0,16.0,12.0,9.0,False,BatchCaller,openzeppelin
34,1,12,154,4,0,0,0,1,0,14,14,1,1.0,0,1,0.0714285714285714,0,0,2,0,39,128,0,13,0,10,5,0.0,0.0,224.0,2880.64,0,9,5,0,2,0.5555555555555556,0,4,4,2,1,0,0.0,3,1,0.5,3,0,0,0,1,0.0,1,6,2,0.25,0,3,6,0,0,0,0,14,0,10,0.0,0.0,0.0,0.06666666666666667,2.8,0.6666666666666666,0.09090909090909091,1.2,6.0,4.2,0,5.664285714285715,4.1,1,36.0,84.0,24.0,6.0,60.0,196.0,56.0,14.0,140.0,16.0,4.0,40.0,1.0,10.0,100.0,False,AccessManagerMock,openzeppelin
35,0,1,6,8,0,3,0,1,0,99,10,1,1.0,0,5,0.0505050505050505,2,0,1,0,7,0,0,1,0,4,2,0.0,0.0,11.0,19.25,0,21,13,0,2,0.6190476190476191,1,8,8,9,2,0,0.0,8,0,1.125,5,3,2,0,2,0.0,2,0,0,1.0,0,0,0,0,0,0,0,99,0,0,0.0,0.0,0.0,0.01,11.0,0.04,0.0,0.0,0.0,0.0,0,5.455050505050505,2.5,0,0.0,0.0,0.0,0.0,0.0,9801.0,792.0,99.0,396.0,64.0,8.0,32.0,1.0,4.0,16.0,False,InitializableMock,openzeppelin
36,0,0,6,1,0,1,0,1,0,21,4,1,1.0,0,4,0.1904761904761904,0,0,1,0,6,1,0,0,1,5,1,0.0,0.0,6.0,8.04,0,2,1,0,1,0.5,0,1,1,0,0,0,0.0,1,0,0.0,1,1,1,0,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,21,0,0,0.0,0.0,0.0,0.045454545454545456,10.5,0.22727272727272727,0.0,0.0,0.0,0.0,0,6.854761904761904,2.4,0,0.0,0.0,0.0,0.0,0.0,441.0,21.0,21.0,105.0,1.0,1.0,5.0,1.0,5.0,25.0,False,UpgradeableBeaconMock,openzeppelin
38,0,0,21,2,1,0,0,2,0,19,6,1,1.5,0,1,0.0526315789473684,0,1,1,0,12,9,0,0,0,4,2,0.0,0.0,21.0,96.075,0,6,4,0,2,0.6666666666666666,2,3,2,2,1,1,0.3333333333333333,2,0,1.0,1,0,1,0,3,0.0,2,0,0,1.0,0,0,0,0,0,0,0,38,2,0,0.0,0.3333333333333333,0.0,0.1,6.333333333333333,0.2,0.0,0.0,0.0,0.0,0,5.426315789473684,5.1,0,0.0,0.0,0.0,0.0,0.0,361.0,38.0,38.0,76.0,4.0,4.0,8.0,4.0,8.0,16.0,False,ERC1271WalletMock,openzeppelin
39,0,0,8,27,0,0,0,1,0,402,3,1,1.0,0,266,0.6616915422885572,1,0,1,0,8,0,0,0,0,3,1,0.0,0.0,8.0,21.33333333333333,1,0,0,0,0,0.0,0,0,27,0,0,0,0.0,27,0,0.0,27,0,0,0,57,0.0,21,0,0,1.0,0,0,0,0,0,0,0,402,0,0,0.0,0.0,0.0,0.0024813895781637717,14.357142857142858,0.007444168734491315,0.0,0.0,0.0,0.0,0,11.566915422885572,28.6,0,0.0,0.0,0.0,0.0,0.0,161604.0,10854.0,402.0,1206.0,729.0,27.0,81.0,1.0,3.0,9.0,False,IGovernor,openzeppelin
40,1,3,50,24,4,6,1,9,1,422,13,1,2.625,0,191,0.45260663507109,3,1,3,0,28,26,0,4,0,11,7,0.0,0.0,75.0,315.0,2,145,137,4,14,0.9448275862068966,14,63,24,49,4,4,0.0754716981132075,18,6,2.0416666666666665,16,6,8,2,54,4.0,21,0,0,1.0,0,0,0,0,0,0,0,3798,96,11,0.0,0.16,0.2,0.02127659574468085,16.88,0.026004728132387706,0.08333333333333333,0.0,0.0,0.0,0,11.0760663507109,28.1,0,0.0,0.0,0.0,0.0,0.0,178084.0,10128.0,3798.0,4642.0,576.0,216.0,264.0,81.0,99.0,121.0,False,TimelockController,openzeppelin
42,1,10,820,10,2,0,2,3,0,136,17,1,1.7,0,69,0.5073529411764706,1,1,1,0,464,367,0,11,0,13,4,0.0,0.0,880.0,48799.38461538462,0,32,25,0,4,0.78125,7,17,10,11,2,2,0.1538461538461538,5,5,1.1,7,0,2,1,10,2.0,5,0,0,1.0,0,0,0,0,0,0,0,408,20,13,0.0,0.18181818181818182,0.0,0.021897810218978103,12.363636363636363,0.0948905109489051,0.07142857142857142,0.0,0.0,0.0,0,13.923529411764704,11.9,0,0.0,0.0,0.0,0.0,0.0,18496.0,1360.0,408.0,1768.0,100.0,30.0,130.0,9.0,39.0,169.0,False,Account,openzeppelin
44,0,0,10,6,0,1,0,2,0,81,2,1,1.3333333333333333,0,42,0.5185185185185185,0,0,1,0,3,7,0,0,0,3,1,0.0,0.0,10.0,26.333333333333336,0,20,14,0,4,0.7,7,8,6,7,1,0,0.0,2,4,1.1666666666666667,3,1,1,0,2,0.0,2,0,0,1.0,0,0,0,0,0,0,0,162,0,0,0.0,0.0,0.0,0.024390243902439025,11.571428571428571,0.036585365853658534,0.0,0.0,0.0,0.0,0,10.085185185185185,6.2,0,0.0,0.0,0.0,0.0,0.0,6561.0,486.0,162.0,243.0,36.0,12.0,18.0,4.0,6.0,9.0,False,ERC2771Context,openzeppelin
46,0,1,8,3,2,1,0,5,0,59,4,1,2.333333333333333,0,28,0.4745762711864407,1,2,1,0,7,2,0,1,0,5,2,0.0,0.0,13.0,21.84,0,10,11,0,7,1.1,1,5,3,4,1,2,0.3333333333333333,1,2,1.3333333333333333,4,1,1,2,9,0.5,3,0,0,1.0,0,0,0,0,0,0,0,295,6,0,0.0,0.5,0.0,0.08333333333333333,14.75,0.08333333333333333,0.0,0.0,0.0,0.0,0,9.495762711864407,10.8,0,0.0,0.0,0.0,0.0,0.0,3481.0,177.0,295.0,295.0,9.0,15.0,15.0,25.0,25.0,25.0,False,ERC7786Recipient,openzeppelin
47,0,0,5,6,0,0,0,1,0,4,2,1,1.0,0,2,0.5,0,0,1,0,5,0,0,0,0,2,1,0.0,0.0,5.0,12.5,0,0,0,0,0,0.0,0,0,6,0,0,0,0.0,6,0,0.0,6,0,0,0,18,0.0,6,0,0,1.0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.2,0.5714285714285714,0.4,0.0,0.0,0.0,0.0,0,9.95,2.2,0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,4.0,8.0,36.0,6.0,12.0,1.0,2.0,4.0,False,IERC1155,openzeppelin
48,0,0,2,0,0,0,0,0,0,20,1,1,0.0,0,14,0.7,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20.0,0.047619047619047616,0.0,0.0,0.0,0.0,0,12.0,1.4,0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,False,IERC1967,openzeppelin
49,0,0,3,1,0,0,0,1,0,4,1,1,1.0,0,2,0.5,0,0,0,0,3,0,0,0,0,1,1,0.0,0.0,3.0,9.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,1,0,0.0,1,0,0,0,1,0.0,1,0,0,1.0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.2,2.0,0.2,0.0,0.0,0.0,0.0,0,9.95,0.2,0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,False,IERC165,openzeppelin
